"Date(UTC)","UnixTimeStamp","Value (Wei)","Value (ETH/USD)"
"2/28/2017","1488240000","23580755304","16.07"
"3/1/2017","1488326400","27402631555","17.55"
"3/2/2017","1488412800","23609865289","19.08"
"3/3/2017","1488499200","23008036079","19.48"
"3/4/2017","1488585600","22752613012","18.61"
"3/5/2017","1488672000","22459193729","19.22"
"3/6/2017","1488758400","22683379793","19.75"
"3/7/2017","1488844800","22439900327","18.91"
"3/8/2017","1488931200","22717981194","16.54"
"3/9/2017","1489017600","22460423289","17.71"
"3/10/2017","1489104000","25715550291","19.13"
"3/11/2017","1489190400","22822227019","21.45"
"3/12/2017","1489276800","22944292835","23.31"
"3/13/2017","1489363200","23503094188","28.45"
"3/14/2017","1489449600","22958465248","28.58"
